timestamp,hour,day_of_week,is_weekend,sleeping,heart_rate_bpm,spo2_pct,steps,calories_burned,is_anomaly,anomaly_type
2024-03-01 00:00:00,0,4,0,1,55.0,96.8,0,2.1,0,normal
2024-03-01 00:05:00,0,4,0,1,154.8,97.2,0,2.01,1,tachycardia
2024-03-01 00:10:00,0,4,0,1,65.3,95.7,0,1.83,0,normal
2024-03-01 00:15:00,0,4,0,1,65.5,95.8,0,1.88,0,normal
2024-03-01 00:20:00,0,4,0,1,69.8,96.5,0,2.27,0,normal
2024-03-01 00:25:00,0,4,0,1,69.8,96.2,0,2.09,0,normal
2024-03-01 00:30:00,0,4,0,1,84.5,96.3,0,1.93,0,normal
2024-03-01 00:35:00,0,4,0,1,69.2,95.9,0,2.04,0,normal
2024-03-01 00:40:00,0,4,0,1,73.7,94.8,0,1.53,0,normal
2024-03-01 00:45:00,0,4,0,1,64.2,96.6,0,1.97,0,normal
2024-03-01 00:50:00,0,4,0,1,75.6,95.6,190,11.46,1,sleep_activity
2024-03-01 00:55:00,0,4,0,1,58.8,88.4,0,1.82,1,low_spo2
2024-03-01 01:00:00,1,4,0,1,54.2,96.0,0,1.72,0,normal
2024-03-01 01:05:00,1,4,0,1,60.3,96.6,0,1.64,0,normal
2024-03-01 01:10:00,1,4,0,1,70.3,96.6,114,7.73,1,sleep_activity
2024-03-01 01:15:00,1,4,0,1,88.9,96.6,0,1.88,0,normal
2024-03-01 01:20:00,1,4,0,1,60.6,94.8,0,2.05,0,normal
2024-03-01 01:25:00,1,4,0,1,80.6,95.0,0,1.93,0,normal
2024-03-01 01:30:00,1,4,0,1,75.0,95.8,0,1.61,0,normal
2024-03-01 01:35:00,1,4,0,1,92.6,97.0,0,2.41,0,normal
2024-03-01 01:40:00,1,4,0,1,70.3,95.4,0,2.04,0,normal
2024-03-01 01:45:00,1,4,0,1,72.1,95.7,0,1.98,0,normal
2024-03-01 01:50:00,1,4,0,1,65.1,95.4,0,2.27,0,normal
2024-03-01 01:55:00,1,4,0,1,72.7,94.5,0,2.05,0,normal
2024-03-01 02:00:00,2,4,0,1,57.9,94.4,0,1.98,0,normal
2024-03-01 02:05:00,2,4,0,1,85.7,96.9,0,1.74,0,normal
2024-03-01 02:10:00,2,4,0,1,59.5,95.4,0,2.28,0,normal
2024-03-01 02:15:00,2,4,0,1,84.9,97.6,0,2.06,0,normal
2024-03-01 02:20:00,2,4,0,1,59.1,89.1,0,2.05,1,low_spo2
2024-03-01 02:25:00,2,4,0,1,65.1,96.8,0,2.22,0,normal
2024-03-01 02:30:00,2,4,0,1,68.1,96.5,0,1.85,0,normal
2024-03-01 02:35:00,2,4,0,1,50.3,95.3,0,2.13,0,normal
2024-03-01 02:40:00,2,4,0,1,79.5,95.7,0,1.91,0,normal
2024-03-01 02:45:00,2,4,0,1,135.2,95.7,0,2.07,1,tachycardia
2024-03-01 02:50:00,2,4,0,1,58.9,95.7,0,2.12,0,normal
2024-03-01 02:55:00,2,4,0,1,59.6,95.9,0,1.95,0,normal
2024-03-01 03:00:00,3,4,0,1,80.8,96.6,0,2.13,0,normal
2024-03-01 03:05:00,3,4,0,1,69.8,95.4,0,2.08,0,normal
2024-03-01 03:10:00,3,4,0,1,66.0,96.5,0,2.24,0,normal
2024-03-01 03:15:00,3,4,0,1,70.2,93.8,0,2.01,0,normal
2024-03-01 03:20:00,3,4,0,1,65.8,96.6,0,1.87,0,normal
2024-03-01 03:25:00,3,4,0,1,64.1,93.7,0,1.98,0,normal
2024-03-01 03:30:00,3,4,0,1,54.1,94.1,0,2.25,0,normal
2024-03-01 03:35:00,3,4,0,1,40.0,95.5,0,1.96,0,normal
2024-03-01 03:40:00,3,4,0,1,76.3,97.5,0,2.07,0,normal
2024-03-01 03:45:00,3,4,0,1,60.1,95.1,0,2.17,0,normal
2024-03-01 03:50:00,3,4,0,1,72.9,94.7,0,1.97,0,normal
2024-03-01 03:55:00,3,4,0,1,75.8,96.0,0,2.21,0,normal
